g,m,a,N,H_E,H_M,H_I,theta,mixer_type,p,hash,quality
1.0,1.0,1.0,2,0.5,0.5,0.25,0.0,X,1,112f08b9627ca12b04dddb6ecbb10a29,5
1.0,1.0,1.0,2,0.5,0.5,0.25,0.0,XY,1,b15b75a032ed3114997690edf5739623,5
1.0,1.0,1.0,4,0.5,0.5,0.25,0.0,X,1,dea5f8852d2e8ba1875de6b6f7d1c2b2,5
1.0,1.0,1.0,4,0.5,0.5,0.25,0.0,XY,1,de4ea6834131333b10c9b61879313bf1,5
1.0,1.0,1.0,6,0.5,0.5,0.25,0.0,X,1,af1d05bad405bc45ee83f6e834442f9c,3
1.0,1.0,1.0,6,0.5,0.5,0.25,0.0,XY,1,90885585af6748cb00f8b848ee98d856,3
1.0,1.0,1.0,8,0.5,0.5,0.25,0.0,X,1,a4e753ac7ab1d8e5d290f60ad63bf805,3
1.0,1.0,1.0,8,0.5,0.5,0.25,0.0,XY,1,73a259a18fe8cf112f95f3e09bb910b2,3
1.0,1.0,1.0,10,0.5,0.5,0.25,0.0,X,1,f7076e4ebdc4f975402443264b883ddc,3
1.0,1.0,1.0,10,0.5,0.5,0.25,0.0,XY,1,e389e2c7922ae7e94b47eb6d4648bb58,3
1.0,1.0,1.0,12,0.5,0.5,0.25,0.0,X,1,d1d2aeeb52e1a99c83743d87e4f4d42b,1
1.0,1.0,1.0,12,0.5,0.5,0.25,0.0,XY,1,cb4da160480c894de4df54657f7ab544,1
1.0,1.0,0.5,2,0.25,0.5,0.5,0.0,X,1,ea8e8a0ebff48ce8206dd63e7e7e05ee,3
1.0,1.0,0.5,2,0.25,0.5,0.5,0.0,XY,1,4082e782c6a457386723f7d63359dafd,3
1.0,1.0,0.5,4,0.25,0.5,0.5,0.0,X,1,6dc786dc683a027e3b033ead1ab9249b,3
1.0,1.0,0.5,4,0.25,0.5,0.5,0.0,XY,1,9baa372052bc1609ad99494b8a1b42d7,3
1.0,1.0,0.5,6,0.25,0.5,0.5,0.0,X,1,c9b53917083a70502216540fdd6316f8,3
1.0,1.0,0.5,6,0.25,0.5,0.5,0.0,XY,1,0d5c606596aee4c2864b441ef5a899e5,3
1.0,1.0,0.5,8,0.25,0.5,0.5,0.0,X,1,fcdbb09905a1c2daf0b5992787461067,3
1.0,1.0,0.5,8,0.25,0.5,0.5,0.0,XY,1,40c3e18d7a4c8246fe86f24f7d547691,3
1.0,1.0,0.5,10,0.25,0.5,0.5,0.0,X,1,fa99e4cd75c619eac2f58bd90f5b46a2,3
1.0,1.0,0.5,10,0.25,0.5,0.5,0.0,XY,1,0b9788359d988ce57aed4339c1754629,3
